0,0,0,0,2011/11/13-01:23:36
0,0,0,0,2011/11/13-10:26:59
0,0,0,0,2011/12/29-02:02:52
0,0,0,0,2012/01/01-03:33:50
0,0,0,0,2012/02/02-02:46:53
0,0,0,0,2012/02/07-03:38:56
0,0,0,0,2012/02/12-01:59:27
0,0,0,0,2012/03/18-11:34:14
0,0,0,0,2012/03/24-11:50:05
0,0,0,0,2012/04/15-04:59:19
0,0,0,0,2012/08/02-11:48:23
0,0,0,0,2012/08/02-11:50:17
0,0,0,0,2012/08/13-02:03:48
0,0,0,0,2012/08/14-11:33:23
0,0,0,0,2012/08/18-03:26:20
0,0,0,0,2013/09/28-08:26:01
0,0,0,0,2015/12/23-11:38:33
0,0,0,0,2015/12/28-12:18:48
0,0,0,0,2016/01/02-03:49:56
0,0,0,0,2016/01/02-04:38:12
0,0,0,0,2016/01/02-07:25:30
0,0,0,0,2017/01/29-03:10:39
0,0,0,0,2017/09/03-07:49:20
1,0,0,1,2017/09/10-10:00:46
0,0,0,1,2017/11/13-12:51:04
0,0,0,1,2017/11/13-02:50:17
0,0,0,1,2017/11/13-03:22:33
0,0,0,1,2018/03/25-04:54:28
